timestamp,open,high,low,close,volume,best_bid,best_ask
2026-02-28T07:00:34+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T08:00:40+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-02-28T09:00:53+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T10:00:35+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T11:00:30+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T13:00:32+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T14:00:46+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T15:00:33+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T16:00:33+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-02-28T18:00:35+00:00,0.53,0.53,0.53,0.53,0.0,,
2026-02-28T19:00:32+00:00,0.52,0.52,0.52,0.52,0.0,,
2026-02-28T20:00:33+00:00,0.515,0.515,0.515,0.515,0.0,,
2026-02-28T21:00:35+00:00,0.515,0.515,0.515,0.515,0.0,,
2026-02-28T22:00:37+00:00,0.515,0.515,0.515,0.515,0.0,,
2026-02-28T23:00:30+00:00,0.52,0.52,0.52,0.52,0.0,,
2026-03-01T00:00:56+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T01:00:35+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T02:00:32+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T03:00:35+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T04:00:33+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T05:00:30+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T06:00:56+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T07:00:28+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T08:00:32+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T09:00:46+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T10:00:36+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T11:00:30+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T12:00:45+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T13:00:30+00:00,0.535,0.535,0.535,0.535,0.0,,
2026-03-01T14:00:34+00:00,0.515,0.515,0.515,0.515,0.0,,
2026-03-01T15:00:40+00:00,0.525,0.525,0.525,0.525,0.0,,
2026-03-01T16:00:34+00:00,0.52,0.52,0.52,0.52,0.0,,
2026-03-01T17:00:30+00:00,0.52,0.52,0.52,0.52,0.0,,
2026-03-01T18:00:34+00:00,0.515,0.515,0.515,0.515,0.0,,
2026-03-01T19:00:31+00:00,0.54,0.54,0.54,0.54,0.0,,
2026-03-01T20:00:32+00:00,0.545,0.545,0.545,0.545,0.0,,
