timestamp,open,high,low,close,volume,best_bid,best_ask,token_id,condition_id,outcome,question,market_slug,market_family,spread,spread_bps,last_price,liquidity,closed,archived,endDate,createdAt
2026-04-20T07:15:50.732626+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.002,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:16:06.589904+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.002,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:16:22.299715+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.002,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:16:38.087072+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.002,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:16:53.647072+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:17:09.503841+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:17:25.226730+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:17:40.950882+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:17:56.680178+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
2026-04-20T07:18:12.304433+00:00,0.0015,0.002,0.001,0.0015,19663478.419081733,0.001,0.002,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Yes,Will Jordan win the 2026 FIFA World Cup?,will-jordan-win-the-2026-fifa-world-cup-233,,0.001,6666.666666666666,0.001,5011700.24992,False,False,2026-07-20T00:00:00Z,2025-07-02T16:54:56.940413Z
