timestamp,open,high,low,close,volume,best_bid,best_ask
2026-02-28T07:00:30+00:00,0.2165,0.2165,0.2165,0.2165,0.0,,
2026-02-28T08:00:37+00:00,0.2165,0.2165,0.2165,0.2165,0.0,,
2026-02-28T09:00:40+00:00,0.1855,0.1855,0.1855,0.1855,0.0,,
2026-02-28T10:00:32+00:00,0.1635,0.1635,0.1635,0.1635,0.0,,
2026-02-28T11:00:27+00:00,0.1445,0.1445,0.1445,0.1445,0.0,,
2026-02-28T12:00:55+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T13:00:29+00:00,0.1565,0.1565,0.1565,0.1565,0.0,,
2026-02-28T14:00:43+00:00,0.1565,0.1565,0.1565,0.1565,0.0,,
2026-02-28T15:00:29+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T16:00:30+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T17:00:48+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T18:00:31+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T19:00:29+00:00,0.1545,0.1545,0.1545,0.1545,0.0,,
2026-02-28T20:00:29+00:00,0.155,0.155,0.155,0.155,0.0,,
2026-02-28T21:00:31+00:00,0.155,0.155,0.155,0.155,0.0,,
2026-02-28T22:00:33+00:00,0.274,0.274,0.274,0.274,0.0,,
2026-02-28T23:00:27+00:00,0.289,0.289,0.289,0.289,0.0,,
2026-03-01T00:00:45+00:00,0.2715,0.2715,0.2715,0.2715,0.0,,
2026-03-01T01:00:30+00:00,0.232,0.232,0.232,0.232,0.0,,
2026-03-01T02:00:29+00:00,0.265,0.265,0.265,0.265,0.0,,
2026-03-01T03:00:31+00:00,0.2645,0.2645,0.2645,0.2645,0.0,,
2026-03-01T04:00:30+00:00,0.296,0.296,0.296,0.296,0.0,,
2026-03-01T05:00:27+00:00,0.284,0.284,0.284,0.284,0.0,,
2026-03-01T06:00:44+00:00,0.2785,0.2785,0.2785,0.2785,0.0,,
2026-03-01T07:00:25+00:00,0.2765,0.2765,0.2765,0.2765,0.0,,
2026-03-01T08:00:28+00:00,0.276,0.276,0.276,0.276,0.0,,
2026-03-01T09:00:42+00:00,0.2245,0.2245,0.2245,0.2245,0.0,,
2026-03-01T10:00:31+00:00,0.2215,0.2215,0.2215,0.2215,0.0,,
2026-03-01T11:00:27+00:00,0.2455,0.2455,0.2455,0.2455,0.0,,
2026-03-01T12:00:38+00:00,0.204,0.204,0.204,0.204,0.0,,
2026-03-01T13:00:26+00:00,0.195,0.195,0.195,0.195,0.0,,
2026-03-01T14:00:30+00:00,0.195,0.195,0.195,0.195,0.0,,
2026-03-01T15:00:35+00:00,0.1975,0.1975,0.1975,0.1975,0.0,,
2026-03-01T16:00:30+00:00,0.276,0.276,0.276,0.276,0.0,,
2026-03-01T17:00:27+00:00,0.244,0.244,0.244,0.244,0.0,,
2026-03-01T18:00:30+00:00,0.217,0.217,0.217,0.217,0.0,,
2026-03-01T19:00:27+00:00,0.183,0.183,0.183,0.183,0.0,,
2026-03-01T20:00:28+00:00,0.161,0.161,0.161,0.161,0.0,,
2026-03-01T21:00:35+00:00,0.1565,0.1565,0.1565,0.1565,0.0,,
2026-03-01T22:00:29+00:00,0.1455,0.1455,0.1455,0.1455,0.0,,
2026-03-01T23:00:27+00:00,0.256,0.256,0.256,0.256,0.0,,
2026-03-02T00:00:47+00:00,0.277,0.277,0.277,0.277,0.0,,
2026-03-02T01:00:26+00:00,0.2975,0.2975,0.2975,0.2975,0.0,,
2026-03-02T02:00:26+00:00,0.278,0.278,0.278,0.278,0.0,,
2026-03-02T03:00:30+00:00,0.281,0.281,0.281,0.281,0.0,,
2026-03-02T04:00:25+00:00,0.39,0.39,0.39,0.39,0.0,,
2026-03-02T05:00:24+00:00,0.4085,0.4085,0.4085,0.4085,0.0,,
2026-03-02T06:00:26+00:00,0.4045,0.4045,0.4045,0.4045,0.0,,
2026-03-02T07:00:24+00:00,0.2815,0.2815,0.2815,0.2815,0.0,,
2026-03-02T08:00:25+00:00,0.2625,0.2625,0.2625,0.2625,0.0,,
2026-03-02T09:00:29+00:00,0.21,0.21,0.21,0.21,0.0,,
2026-03-02T10:00:25+00:00,0.2355,0.2355,0.2355,0.2355,0.0,,
2026-03-02T11:00:24+00:00,0.2325,0.2325,0.2325,0.2325,0.0,,
2026-03-02T12:00:37+00:00,0.2325,0.2325,0.2325,0.2325,0.0,,
2026-03-02T13:00:26+00:00,0.2285,0.2285,0.2285,0.2285,0.0,,
2026-03-02T14:00:27+00:00,0.1945,0.1945,0.1945,0.1945,0.0,,
2026-03-02T15:00:46+00:00,0.181,0.181,0.181,0.181,0.0,,
2026-03-02T16:00:27+00:00,0.1665,0.1665,0.1665,0.1665,0.0,,
2026-03-02T17:00:53+00:00,0.1745,0.1745,0.1745,0.1745,0.0,,
2026-03-02T18:00:48+00:00,0.2085,0.2085,0.2085,0.2085,0.0,,
2026-03-02T19:00:29+00:00,0.2455,0.2455,0.2455,0.2455,0.0,,
2026-03-02T20:00:29+00:00,0.216,0.216,0.216,0.216,0.0,,
2026-03-02T21:00:30+00:00,0.271,0.271,0.271,0.271,0.0,,
2026-03-02T22:00:28+00:00,0.283,0.283,0.283,0.283,0.0,,
2026-03-02T23:00:26+00:00,0.307,0.307,0.307,0.307,0.0,,
2026-03-03T00:00:38+00:00,0.3015,0.3015,0.3015,0.3015,0.0,,
2026-03-03T01:00:27+00:00,0.1885,0.1885,0.1885,0.1885,0.0,,
2026-03-03T02:00:40+00:00,0.351,0.351,0.351,0.351,0.0,,
2026-03-03T03:00:33+00:00,0.309,0.309,0.309,0.309,0.0,,
2026-03-03T04:00:26+00:00,0.5275,0.5275,0.5275,0.5275,0.0,,
2026-03-03T05:00:26+00:00,0.289,0.289,0.289,0.289,0.0,,
2026-03-03T06:00:31+00:00,0.454,0.454,0.454,0.454,0.0,,
2026-03-03T07:00:28+00:00,0.366,0.366,0.366,0.366,0.0,,
2026-03-03T08:00:27+00:00,0.412,0.412,0.412,0.412,0.0,,
2026-03-03T09:00:30+00:00,0.291,0.291,0.291,0.291,0.0,,
2026-03-03T10:00:28+00:00,0.2675,0.2675,0.2675,0.2675,0.0,,
2026-03-03T11:00:39+00:00,0.2045,0.2045,0.2045,0.2045,0.0,,
2026-03-03T12:00:41+00:00,0.2105,0.2105,0.2105,0.2105,0.0,,
2026-03-03T13:00:29+00:00,0.197,0.197,0.197,0.197,0.0,,
2026-03-03T14:00:44+00:00,0.1915,0.1915,0.1915,0.1915,0.0,,
2026-03-03T15:00:37+00:00,0.2175,0.2175,0.2175,0.2175,0.0,,
2026-03-03T16:00:30+00:00,0.2165,0.2165,0.2165,0.2165,0.0,,
2026-03-03T17:00:29+00:00,0.222,0.222,0.222,0.222,0.0,,
2026-03-03T18:00:35+00:00,0.21,0.21,0.21,0.21,0.0,,
2026-03-03T19:00:31+00:00,0.467,0.467,0.467,0.467,0.0,,
2026-03-03T20:00:30+00:00,0.494,0.494,0.494,0.494,0.0,,
2026-03-03T21:00:54+00:00,0.6665,0.6665,0.6665,0.6665,0.0,,
2026-03-03T22:00:31+00:00,0.2375,0.2375,0.2375,0.2375,0.0,,
2026-03-03T23:00:30+00:00,0.2215,0.2215,0.2215,0.2215,0.0,,
2026-03-04T00:00:40+00:00,0.2285,0.2285,0.2285,0.2285,0.0,,
2026-03-04T01:00:30+00:00,0.2145,0.2145,0.2145,0.2145,0.0,,
2026-03-04T02:00:31+00:00,0.1555,0.1555,0.1555,0.1555,0.0,,
2026-03-04T03:00:33+00:00,0.3675,0.3675,0.3675,0.3675,0.0,,
2026-03-04T04:00:29+00:00,0.4375,0.4375,0.4375,0.4375,0.0,,
2026-03-04T05:00:27+00:00,0.4105,0.4105,0.4105,0.4105,0.0,,
2026-03-04T06:00:33+00:00,0.4315,0.4315,0.4315,0.4315,0.0,,
2026-03-04T07:00:26+00:00,0.357,0.357,0.357,0.357,0.0,,
2026-03-04T08:00:26+00:00,0.2455,0.2455,0.2455,0.2455,0.0,,
2026-03-04T09:00:33+00:00,0.275,0.275,0.275,0.275,0.0,,
2026-03-04T10:00:30+00:00,0.2665,0.2665,0.2665,0.2665,0.0,,
2026-03-04T11:00:30+00:00,0.291,0.291,0.291,0.291,0.0,,
2026-03-04T12:00:37+00:00,0.255,0.255,0.255,0.255,0.0,,
2026-03-04T13:00:29+00:00,0.229,0.229,0.229,0.229,0.0,,
2026-03-04T14:00:31+00:00,0.2265,0.2265,0.2265,0.2265,0.0,,
2026-03-04T15:00:41+00:00,0.268,0.268,0.268,0.268,0.0,,
