source_csv,timestamp,token_id,condition_id,question,outcome,close,best_bid,best_ask,spread_bps,abs_move_bps,lookback_move_bps,quote_changed,quote_change_count,quote_change_ratio,quote_source,price_bucket,spread_bucket,movement_bucket,activity_bucket,hours_to_resolution,resolution_bucket,state_label
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:05:03.804668+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,,,0,0,0.0,,30-70c,medium,unknown,low,2452.92,gt_7d,medium/unknown/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:05:19.522810+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.91,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:05:35.222153+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.91,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:05:50.814894+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.9,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:06:06.517769+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.9,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:06:22.062590+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.89,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:06:37.690101+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.89,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:06:53.302950+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.89,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:07:09.266212+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.88,gt_7d,medium/flat/low
data/quote_backtests_clob_fresh/quote_backtest_2527312495175492857904889758552137141356236738032676480522356889996545113869.csv,2026-04-20T07:07:24.819076+00:00,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,Russia-Ukraine Ceasefire before GTA VI?,No,0.46499999999999997,0.46,0.47,215.05,0.0,0.0,0,0,0.0,,30-70c,medium,flat,low,2452.88,gt_7d,medium/flat/low
